unique_id1,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,result
Q58FF7,0.152,0.214,0.633,0.191,0.409,0.342,0.035,0.069,0.214,0.152,0.633,0.422,0.221,0.409,0.116,0.039,0.496,0.248,0.256,0.355,0.414,0.236,0.176,0.427,0.573,0.448,-0.321,-0.309,-0.642,0.129,0
Q5HYJ1,0.157,0.047,0.796,0.262,0.496,0.383,0.055,0.138,0.047,0.157,0.796,0.556,0.251,0.267,0.146,0.055,0.402,0.366,0.231,0.446,0.237,0.325,0.204,0.435,0.565,-0.416,-0.258,-0.248,-0.078,0.037,0
Q6IPR1,0.244,0.111,0.644,0.156,0.411,0.322,0.022,0.133,0.111,0.244,0.644,0.389,0.344,0.222,0.044,0.044,0.567,0.222,0.211,0.344,0.411,0.2,0.122,0.322,0.678,0.113,0.119,-0.659,-0.164,-0.026,0
P62081,0.216,0.119,0.665,0.16,0.469,0.402,0.046,0.062,0.119,0.216,0.665,0.454,0.299,0.325,0.103,0.01,0.505,0.258,0.237,0.412,0.376,0.186,0.17,0.412,0.588,0.23,-0.353,-0.689,-0.356,0.223,1
Q6UWM7,0.134,0.102,0.764,0.228,0.494,0.399,0.051,0.136,0.102,0.134,0.764,0.474,0.228,0.33,0.108,0.037,0.416,0.298,0.286,0.437,0.298,0.268,0.222,0.46,0.54,-0.083,-0.265,-0.213,-0.263,0.043,0
P09601,0.146,0.122,0.733,0.208,0.497,0.413,0.069,0.09,0.122,0.146,0.733,0.51,0.243,0.337,0.111,0.028,0.538,0.236,0.226,0.399,0.337,0.264,0.194,0.444,0.556,0.031,-0.322,-0.416,-0.366,0.248,1
Q6P1L8,0.179,0.048,0.772,0.207,0.51,0.434,0.062,0.069,0.048,0.179,0.772,0.51,0.297,0.297,0.131,0.055,0.379,0.317,0.303,0.448,0.269,0.276,0.241,0.545,0.455,0.098,-0.589,-0.349,-0.149,0.048,0
P68104,0.16,0.115,0.725,0.173,0.517,0.45,0.054,0.067,0.115,0.16,0.725,0.498,0.249,0.344,0.113,0.039,0.407,0.303,0.29,0.45,0.327,0.24,0.242,0.545,0.455,0.213,-0.698,-0.329,-0.357,0.132,1
Q01629,0.091,0.061,0.848,0.22,0.576,0.462,0.068,0.083,0.061,0.091,0.848,0.614,0.212,0.28,0.129,0.076,0.386,0.356,0.258,0.477,0.258,0.303,0.212,0.523,0.477,-0.496,-0.624,-0.2,-0.288,0.09,1
Q9H910,0.158,0.111,0.732,0.195,0.489,0.432,0.147,0.042,0.111,0.158,0.732,0.426,0.353,0.411,0.158,0.026,0.389,0.158,0.453,0.326,0.4,0.358,0.3,0.605,0.395,0.728,-0.516,0.02,-0.319,0.326,1
Q13568,0.116,0.118,0.765,0.207,0.53,0.452,0.137,0.082,0.118,0.116,0.765,0.528,0.281,0.345,0.094,0.036,0.448,0.225,0.327,0.398,0.4,0.285,0.193,0.488,0.512,-0.073,-0.288,-0.121,-0.334,0.317,1
P62333,0.175,0.154,0.671,0.167,0.473,0.414,0.049,0.057,0.154,0.175,0.671,0.465,0.254,0.344,0.087,0.044,0.494,0.242,0.265,0.406,0.35,0.216,0.18,0.442,0.558,0.237,-0.394,-0.463,-0.426,0.177,1
Q6ZMY3,0.13,0.111,0.759,0.227,0.517,0.47,0.116,0.038,0.111,0.13,0.759,0.478,0.261,0.399,0.128,0.049,0.456,0.168,0.376,0.41,0.337,0.295,0.305,0.567,0.433,0.387,-0.611,-0.072,-0.357,0.339,0
P08047,0.071,0.054,0.875,0.345,0.468,0.429,0.054,0.029,0.054,0.071,0.875,0.443,0.187,0.501,0.209,0.032,0.385,0.229,0.386,0.41,0.308,0.308,0.343,0.615,0.385,0.545,-0.949,-0.157,-0.651,0.188,1
Q6UWW9,0.075,0.089,0.836,0.247,0.568,0.5,0.089,0.082,0.089,0.075,0.836,0.623,0.185,0.308,0.13,0.068,0.377,0.342,0.281,0.507,0.24,0.295,0.233,0.541,0.459,-0.531,-0.673,-0.103,-0.399,0.158,0
P17302,0.139,0.094,0.767,0.243,0.482,0.393,0.05,0.113,0.094,0.139,0.767,0.479,0.23,0.332,0.131,0.042,0.408,0.296,0.296,0.437,0.306,0.262,0.249,0.49,0.51,0.014,-0.37,-0.198,-0.345,0.108,1
Q495X7,0.163,0.121,0.715,0.251,0.416,0.34,0.047,0.104,0.121,0.163,0.715,0.456,0.259,0.325,0.113,0.057,0.448,0.299,0.253,0.397,0.348,0.238,0.185,0.42,0.58,0.106,-0.158,-0.313,-0.375,0.001,0
P62753,0.285,0.104,0.61,0.181,0.402,0.365,0.04,0.04,0.104,0.285,0.61,0.402,0.353,0.313,0.108,0.028,0.566,0.209,0.225,0.357,0.357,0.197,0.197,0.418,0.582,0.677,-0.259,-0.855,-0.15,0.171,1
P62273,0.25,0.036,0.714,0.286,0.393,0.286,0.018,0.125,0.036,0.25,0.714,0.357,0.304,0.304,0.071,0.107,0.464,0.268,0.268,0.411,0.25,0.232,0.268,0.375,0.625,0.466,0.013,-0.313,0.201,-0.191,1
Q695T7,0.063,0.077,0.86,0.241,0.576,0.453,0.05,0.14,0.077,0.063,0.86,0.584,0.156,0.322,0.137,0.052,0.336,0.382,0.282,0.524,0.23,0.268,0.23,0.497,0.503,-0.644,-0.57,-0.145,-0.434,0.018,1
Q2TAP0,0.126,0.126,0.749,0.293,0.437,0.371,0.024,0.09,0.126,0.126,0.749,0.419,0.168,0.449,0.18,0.048,0.425,0.275,0.299,0.425,0.257,0.275,0.323,0.485,0.515,0.425,-0.647,-0.232,-0.596,0.053,0
Q6PIS1,0.077,0.046,0.877,0.239,0.623,0.543,0.105,0.066,0.046,0.077,0.877,0.602,0.197,0.336,0.149,0.057,0.423,0.238,0.339,0.533,0.223,0.313,0.315,0.552,0.448,-0.494,-0.841,-0.031,-0.295,0.306,0
Q5T871,0.163,0.102,0.735,0.367,0.347,0.316,0.255,0.02,0.102,0.163,0.735,0.541,0.439,0.296,0.143,0.184,0.347,0.214,0.439,0.255,0.571,0.418,0.316,0.653,0.347,0.636,-0.154,0.835,-0.067,0.212,0
P09958,0.121,0.106,0.773,0.253,0.479,0.421,0.06,0.076,0.106,0.121,0.773,0.491,0.223,0.388,0.146,0.038,0.408,0.277,0.315,0.436,0.29,0.277,0.277,0.573,0.427,0.326,-0.574,-0.132,-0.403,0.124,1
Q6UXB4,0.137,0.119,0.744,0.229,0.485,0.403,0.027,0.082,0.119,0.137,0.744,0.491,0.195,0.389,0.133,0.051,0.478,0.256,0.266,0.481,0.253,0.218,0.297,0.522,0.478,0.345,-0.535,-0.214,-0.322,0.04,1
Q9Y572,0.112,0.106,0.782,0.234,0.494,0.415,0.093,0.068,0.106,0.112,0.782,0.477,0.259,0.394,0.143,0.044,0.419,0.224,0.357,0.392,0.357,0.292,0.247,0.55,0.45,0.258,-0.486,-0.139,-0.426,0.158,1
P49327,0.117,0.106,0.777,0.215,0.536,0.47,0.059,0.07,0.106,0.117,0.777,0.518,0.204,0.362,0.125,0.035,0.459,0.247,0.294,0.477,0.275,0.25,0.27,0.524,0.476,0.022,-0.65,-0.241,-0.423,0.225,1
P53992,0.092,0.081,0.826,0.267,0.522,0.454,0.104,0.081,0.081,0.092,0.826,0.518,0.234,0.367,0.135,0.048,0.389,0.261,0.349,0.42,0.327,0.312,0.262,0.575,0.425,0.018,-0.59,-0.056,-0.44,0.237,1
Q49B96,0.211,0.144,0.644,0.189,0.4,0.267,0.056,0.089,0.144,0.211,0.644,0.411,0.322,0.344,0.111,0.1,0.544,0.167,0.289,0.333,0.422,0.256,0.222,0.4,0.6,0.539,-0.098,-0.121,-0.222,-0.014,0
Q3KQU3,0.206,0.138,0.656,0.218,0.421,0.395,0.13,0.019,0.138,0.206,0.656,0.428,0.353,0.389,0.15,0.017,0.568,0.114,0.317,0.289,0.421,0.304,0.275,0.522,0.478,0.926,-0.273,-0.347,-0.304,0.45,0
Q5BJD5,0.117,0.058,0.825,0.206,0.595,0.478,0.052,0.134,0.058,0.117,0.825,0.591,0.192,0.275,0.12,0.034,0.423,0.347,0.23,0.529,0.23,0.254,0.234,0.464,0.536,-0.641,-0.575,-0.341,-0.28,0.164,1
O43447,0.124,0.096,0.78,0.169,0.554,0.435,0.062,0.096,0.096,0.124,0.78,0.503,0.243,0.345,0.102,0.062,0.316,0.328,0.356,0.486,0.311,0.226,0.254,0.571,0.429,0.076,-0.648,-0.086,-0.358,0.009,1
Q5H9U9,0.163,0.121,0.716,0.219,0.451,0.362,0.032,0.103,0.121,0.163,0.716,0.477,0.241,0.319,0.113,0.046,0.472,0.284,0.243,0.421,0.33,0.234,0.183,0.423,0.577,-0.004,-0.236,-0.348,-0.352,0.072,0
Q8NFH5,0.098,0.071,0.831,0.285,0.531,0.442,0.117,0.067,0.071,0.098,0.831,0.521,0.23,0.408,0.199,0.052,0.365,0.242,0.393,0.374,0.304,0.399,0.288,0.589,0.411,0.029,-0.663,-0.045,-0.359,0.339,1
Q58FG1,0.151,0.175,0.675,0.22,0.411,0.34,0.033,0.077,0.175,0.151,0.675,0.447,0.227,0.407,0.146,0.031,0.467,0.268,0.266,0.356,0.38,0.254,0.175,0.455,0.545,0.376,-0.338,-0.381,-0.588,0.115,0
Q5VTE6,0.158,0.108,0.733,0.248,0.439,0.366,0.062,0.099,0.108,0.158,0.733,0.456,0.267,0.335,0.131,0.051,0.415,0.276,0.309,0.399,0.311,0.292,0.226,0.478,0.522,0.165,-0.216,-0.138,-0.263,0.061,0
Q68DH5,0.128,0.102,0.77,0.243,0.478,0.367,0.04,0.148,0.102,0.128,0.77,0.512,0.217,0.311,0.128,0.042,0.412,0.347,0.242,0.433,0.275,0.278,0.187,0.43,0.57,-0.253,-0.196,-0.263,-0.331,-0.004,0
Q2T9K0,0.12,0.093,0.787,0.255,0.516,0.444,0.061,0.072,0.093,0.12,0.787,0.547,0.198,0.349,0.154,0.051,0.478,0.244,0.278,0.472,0.248,0.269,0.303,0.522,0.478,0.021,-0.551,-0.176,-0.33,0.251,0
P49754,0.164,0.163,0.673,0.194,0.443,0.374,0.036,0.082,0.163,0.164,0.673,0.451,0.237,0.341,0.098,0.049,0.478,0.27,0.252,0.406,0.35,0.233,0.186,0.415,0.585,0.155,-0.279,-0.319,-0.428,0.086,1
Q17RY6,0.127,0.115,0.758,0.2,0.521,0.418,0.067,0.097,0.115,0.127,0.758,0.57,0.23,0.273,0.085,0.097,0.479,0.285,0.236,0.491,0.291,0.212,0.267,0.485,0.515,-0.093,-0.396,-0.075,-0.271,0.022,0
Q3B8N2,0.121,0.053,0.826,0.253,0.528,0.41,0.098,0.112,0.053,0.121,0.826,0.522,0.264,0.34,0.143,0.048,0.343,0.32,0.337,0.416,0.289,0.334,0.23,0.542,0.458,-0.086,-0.395,-0.098,-0.211,0.136,0
Q14CX5,0.101,0.058,0.841,0.217,0.598,0.487,0.043,0.122,0.058,0.101,0.841,0.602,0.17,0.294,0.126,0.039,0.458,0.288,0.253,0.567,0.188,0.244,0.257,0.489,0.511,-0.626,-0.586,-0.205,-0.261,0.176,0
Q5FWE3,0.108,0.085,0.807,0.186,0.606,0.562,0.139,0.043,0.085,0.108,0.807,0.552,0.263,0.351,0.126,0.019,0.457,0.161,0.382,0.468,0.299,0.305,0.323,0.612,0.388,0.057,-0.741,-0.053,-0.296,0.481,0
Q6YFQ2,0.17,0.091,0.739,0.284,0.398,0.295,0.091,0.148,0.091,0.17,0.739,0.443,0.318,0.318,0.114,0.057,0.375,0.33,0.295,0.341,0.375,0.295,0.182,0.443,0.557,0.211,0.149,-0.136,-0.132,-0.056,0
Q32M78,0.226,0.132,0.642,0.29,0.322,0.255,0.036,0.09,0.132,0.226,0.642,0.388,0.291,0.374,0.153,0.083,0.472,0.283,0.245,0.341,0.335,0.307,0.265,0.439,0.561,0.761,-0.202,-0.11,-0.197,-0.096,0
Q52WX2,0.146,0.106,0.748,0.167,0.568,0.498,0.108,0.071,0.106,0.146,0.748,0.559,0.267,0.325,0.101,0.038,0.425,0.276,0.3,0.469,0.304,0.25,0.236,0.559,0.441,0.003,-0.63,-0.284,-0.298,0.255,0
Q68DN1,0.202,0.096,0.702,0.301,0.38,0.338,0.087,0.044,0.096,0.202,0.702,0.407,0.309,0.414,0.203,0.031,0.471,0.21,0.32,0.291,0.329,0.372,0.237,0.477,0.523,0.617,-0.272,-0.386,-0.262,0.255,0
P31946,0.13,0.179,0.691,0.24,0.394,0.329,0.02,0.077,0.179,0.13,0.691,0.411,0.207,0.407,0.126,0.041,0.528,0.22,0.252,0.35,0.398,0.232,0.211,0.439,0.561,0.497,-0.297,-0.326,-0.669,0.093,1
Q5R387,0.168,0.067,0.765,0.329,0.416,0.329,0.067,0.128,0.067,0.168,0.765,0.47,0.255,0.336,0.148,0.094,0.356,0.342,0.302,0.43,0.275,0.315,0.302,0.517,0.483,0.203,-0.328,0.113,-0.119,-0.066,0
O95486,0.091,0.07,0.84,0.28,0.501,0.435,0.101,0.077,0.07,0.091,0.84,0.52,0.25,0.359,0.167,0.038,0.395,0.251,0.354,0.389,0.322,0.348,0.231,0.553,0.447,-0.082,-0.49,-0.116,-0.448,0.237,1
Q4U2R6,0.242,0.07,0.688,0.086,0.539,0.422,0.055,0.109,0.07,0.242,0.688,0.461,0.359,0.219,0.039,0.047,0.469,0.242,0.289,0.469,0.273,0.18,0.188,0.398,0.602,0.018,-0.042,-0.536,0.171,-0.014,0
Q53T59,0.135,0.168,0.696,0.181,0.505,0.454,0.102,0.048,0.168,0.135,0.696,0.477,0.247,0.393,0.107,0.02,0.492,0.181,0.327,0.393,0.406,0.255,0.235,0.518,0.482,0.321,-0.498,-0.192,-0.537,0.429,0
P27348,0.127,0.18,0.694,0.237,0.408,0.351,0.016,0.078,0.18,0.127,0.694,0.457,0.192,0.388,0.131,0.045,0.506,0.253,0.241,0.388,0.363,0.22,0.22,0.465,0.535,0.392,-0.385,-0.296,-0.673,0.089,1
Q6UXN2,0.1,0.035,0.865,0.325,0.505,0.42,0.09,0.09,0.035,0.1,0.865,0.575,0.225,0.355,0.19,0.08,0.35,0.335,0.315,0.455,0.25,0.355,0.285,0.56,0.44,-0.21,-0.632,-0.005,-0.209,0.036,0
Q5T6L9,0.125,0.108,0.767,0.239,0.49,0.404,0.041,0.09,0.108,0.125,0.767,0.549,0.205,0.322,0.142,0.052,0.476,0.299,0.224,0.459,0.277,0.257,0.19,0.429,0.571,-0.31,-0.404,-0.355,-0.418,0.095,0
Q9NYJ8,0.126,0.075,0.799,0.317,0.408,0.352,0.085,0.052,0.075,0.126,0.799,0.44,0.284,0.414,0.195,0.039,0.392,0.237,0.371,0.313,0.355,0.365,0.238,0.551,0.449,0.481,-0.366,-0.133,-0.419,0.175,1
Q6J272,0.139,0.098,0.763,0.252,0.479,0.391,0.126,0.114,0.098,0.139,0.763,0.489,0.297,0.353,0.117,0.041,0.401,0.265,0.334,0.35,0.369,0.35,0.189,0.495,0.505,0.065,-0.165,-0.063,-0.201,0.203,0
P17405,0.117,0.084,0.799,0.206,0.561,0.48,0.1,0.101,0.084,0.117,0.799,0.558,0.249,0.304,0.113,0.043,0.418,0.263,0.319,0.475,0.266,0.298,0.26,0.531,0.469,-0.208,-0.439,-0.045,-0.18,0.202,1
Q5FYB0,0.144,0.085,0.771,0.255,0.467,0.402,0.068,0.109,0.085,0.144,0.771,0.459,0.26,0.352,0.13,0.035,0.391,0.29,0.319,0.407,0.319,0.297,0.242,0.501,0.499,0.137,-0.376,-0.194,-0.275,0.067,0
Q6UWL2,0.114,0.104,0.782,0.273,0.459,0.391,0.059,0.087,0.104,0.114,0.782,0.507,0.222,0.373,0.161,0.063,0.357,0.331,0.312,0.431,0.274,0.292,0.258,0.556,0.444,0.186,-0.546,-0.098,-0.449,-0.014,0
Q96JC1,0.158,0.128,0.714,0.203,0.474,0.409,0.05,0.084,0.128,0.158,0.714,0.493,0.245,0.317,0.09,0.04,0.5,0.272,0.228,0.43,0.35,0.231,0.167,0.41,0.59,-0.084,-0.33,-0.388,-0.379,0.143,1
Q6NUS8,0.138,0.092,0.771,0.193,0.545,0.432,0.048,0.105,0.092,0.138,0.771,0.535,0.218,0.319,0.117,0.036,0.438,0.296,0.266,0.476,0.277,0.256,0.197,0.463,0.537,-0.306,-0.431,-0.313,-0.261,0.163,0
Q86WV6,0.116,0.092,0.792,0.243,0.512,0.462,0.061,0.079,0.092,0.116,0.792,0.512,0.214,0.33,0.124,0.042,0.493,0.227,0.28,0.462,0.261,0.274,0.256,0.467,0.533,-0.147,-0.504,-0.249,-0.4,0.192,1
P62244,0.2,0.092,0.708,0.131,0.523,0.415,0.023,0.077,0.092,0.2,0.708,0.492,0.277,0.285,0.077,0.054,0.454,0.3,0.246,0.477,0.285,0.177,0.185,0.431,0.569,0.027,-0.42,-0.566,-0.184,0.013,1
Q5T653,0.18,0.052,0.767,0.18,0.538,0.472,0.069,0.049,0.052,0.18,0.767,0.508,0.298,0.295,0.111,0.049,0.466,0.236,0.298,0.452,0.262,0.252,0.275,0.534,0.466,0.22,-0.583,-0.422,-0.11,0.16,0
P26022,0.11,0.136,0.753,0.192,0.525,0.446,0.037,0.071,0.136,0.11,0.753,0.512,0.184,0.375,0.11,0.052,0.486,0.252,0.262,0.488,0.268,0.215,0.276,0.499,0.501,0.159,-0.632,-0.233,-0.459,0.081,1
P07711,0.123,0.132,0.745,0.222,0.465,0.345,0.036,0.123,0.132,0.123,0.745,0.435,0.216,0.378,0.111,0.069,0.423,0.273,0.303,0.408,0.327,0.261,0.264,0.502,0.498,0.343,-0.35,-0.046,-0.359,-0.077,1
Q9Y6K9,0.169,0.174,0.656,0.243,0.403,0.358,0.045,0.031,0.174,0.169,0.656,0.415,0.224,0.403,0.074,0.055,0.683,0.138,0.179,0.356,0.43,0.186,0.215,0.365,0.635,0.596,-0.268,-0.493,-0.519,0.293,1
Q3KNT9,0.148,0.085,0.767,0.244,0.511,0.42,0.045,0.085,0.085,0.148,0.767,0.557,0.205,0.312,0.142,0.08,0.506,0.261,0.233,0.5,0.227,0.25,0.307,0.489,0.511,-0.073,-0.55,-0.193,-0.212,0.111,0
Q587J7,0.145,0.127,0.727,0.217,0.47,0.405,0.059,0.078,0.127,0.145,0.727,0.508,0.246,0.323,0.111,0.049,0.45,0.285,0.264,0.427,0.353,0.245,0.206,0.483,0.517,0.046,-0.404,-0.227,-0.404,0.142,0
Q5JU69,0.146,0.097,0.757,0.181,0.551,0.461,0.059,0.09,0.097,0.146,0.757,0.539,0.231,0.308,0.106,0.04,0.48,0.249,0.271,0.502,0.252,0.24,0.255,0.489,0.511,-0.125,-0.484,-0.22,-0.224,0.203,0
P59046,0.138,0.116,0.746,0.223,0.487,0.413,0.043,0.075,0.116,0.138,0.746,0.507,0.217,0.343,0.108,0.063,0.516,0.235,0.25,0.46,0.287,0.227,0.229,0.439,0.561,0.003,-0.432,-0.295,-0.376,0.093,1
P52948,0.112,0.102,0.786,0.271,0.468,0.394,0.062,0.079,0.102,0.112,0.786,0.484,0.221,0.426,0.191,0.027,0.403,0.256,0.34,0.401,0.307,0.314,0.264,0.55,0.45,0.267,-0.581,-0.158,-0.505,0.167,1
Q63HM1,0.119,0.116,0.766,0.228,0.515,0.416,0.05,0.109,0.116,0.119,0.766,0.512,0.191,0.366,0.119,0.036,0.432,0.31,0.257,0.455,0.297,0.257,0.224,0.498,0.502,-0.042,-0.489,-0.242,-0.388,0.137,0
Q8TD47,0.213,0.084,0.703,0.156,0.506,0.445,0.049,0.065,0.084,0.213,0.703,0.51,0.304,0.285,0.103,0.038,0.407,0.331,0.262,0.464,0.285,0.224,0.205,0.502,0.498,0.142,-0.556,-0.509,-0.154,0.073,1
P29350,0.16,0.128,0.713,0.242,0.427,0.365,0.04,0.086,0.128,0.16,0.713,0.415,0.244,0.397,0.124,0.03,0.447,0.269,0.284,0.38,0.348,0.255,0.21,0.466,0.534,0.405,-0.356,-0.372,-0.423,0.071,1
Q17RN3,0.132,0.12,0.748,0.181,0.559,0.519,0.077,0.032,0.12,0.132,0.748,0.53,0.218,0.352,0.095,0.052,0.547,0.16,0.292,0.504,0.278,0.203,0.321,0.527,0.473,0.199,-0.739,-0.239,-0.39,0.324,0
O14980,0.124,0.119,0.757,0.216,0.486,0.385,0.037,0.092,0.119,0.124,0.757,0.527,0.218,0.323,0.108,0.055,0.466,0.31,0.224,0.43,0.331,0.239,0.159,0.426,0.574,-0.18,-0.339,-0.351,-0.43,0.061,1
Q5MJ09,0.099,0.248,0.652,0.284,0.284,0.262,0.057,0.028,0.248,0.099,0.652,0.262,0.241,0.567,0.184,0.028,0.411,0.142,0.447,0.227,0.539,0.277,0.241,0.532,0.468,1.3,-0.304,0.024,-1.077,0.109,0
Q9H270,0.159,0.125,0.715,0.244,0.437,0.367,0.038,0.092,0.125,0.159,0.715,0.457,0.232,0.359,0.116,0.041,0.482,0.268,0.25,0.406,0.324,0.253,0.206,0.438,0.562,0.196,-0.291,-0.306,-0.37,0.114,1
Q5TYM5,0.114,0.114,0.772,0.268,0.443,0.362,0.027,0.081,0.114,0.114,0.772,0.544,0.201,0.315,0.141,0.114,0.329,0.383,0.289,0.49,0.275,0.228,0.268,0.55,0.45,0.044,-0.556,0.069,-0.455,-0.16,0
Q5VXT5,0.096,0.099,0.805,0.239,0.54,0.397,0.037,0.136,0.099,0.096,0.805,0.529,0.158,0.379,0.136,0.055,0.412,0.312,0.276,0.5,0.25,0.243,0.294,0.515,0.485,-0.054,-0.53,-0.063,-0.367,0.062,0
Q69YU5,0.183,0.113,0.704,0.183,0.521,0.451,0.099,0.056,0.113,0.183,0.704,0.521,0.282,0.296,0.085,0.07,0.592,0.197,0.211,0.38,0.352,0.31,0.197,0.408,0.592,-0.078,-0.46,-0.438,-0.173,0.284,0
Q9Y397,0.115,0.091,0.794,0.228,0.519,0.42,0.091,0.102,0.091,0.115,0.794,0.571,0.253,0.302,0.129,0.066,0.396,0.327,0.277,0.445,0.305,0.288,0.214,0.505,0.495,-0.234,-0.435,-0.128,-0.337,0.07,1
P17693,0.13,0.133,0.737,0.231,0.488,0.402,0.05,0.098,0.133,0.13,0.737,0.506,0.198,0.373,0.121,0.047,0.482,0.275,0.243,0.426,0.281,0.269,0.243,0.5,0.5,0.191,-0.418,-0.257,-0.33,0.117,1
Q5JQC4,0.094,0.229,0.677,0.132,0.514,0.486,0.073,0.017,0.229,0.094,0.677,0.448,0.198,0.455,0.083,0.014,0.569,0.125,0.306,0.427,0.41,0.198,0.316,0.562,0.438,0.824,-0.782,-0.072,-0.778,0.358,0
P84022,0.132,0.101,0.767,0.245,0.464,0.384,0.085,0.087,0.101,0.132,0.767,0.496,0.275,0.336,0.132,0.059,0.405,0.285,0.311,0.391,0.336,0.306,0.216,0.511,0.489,0.122,-0.307,-0.1,-0.302,0.058,1
Q5W0U4,0.139,0.124,0.736,0.221,0.49,0.425,0.05,0.062,0.124,0.139,0.736,0.48,0.214,0.388,0.119,0.042,0.498,0.229,0.274,0.458,0.291,0.226,0.276,0.495,0.505,0.322,-0.548,-0.257,-0.411,0.174,0
Q9UHD2,0.159,0.136,0.705,0.211,0.453,0.374,0.033,0.086,0.136,0.159,0.705,0.472,0.233,0.351,0.119,0.045,0.472,0.292,0.236,0.405,0.324,0.257,0.18,0.424,0.576,0.097,-0.369,-0.405,-0.407,0.052,1
Q9ULZ3,0.128,0.123,0.749,0.195,0.528,0.462,0.046,0.072,0.123,0.128,0.749,0.523,0.2,0.344,0.103,0.031,0.564,0.195,0.241,0.462,0.303,0.221,0.246,0.467,0.533,0.014,-0.521,-0.37,-0.422,0.293,1
P62633,0.198,0.136,0.667,0.299,0.339,0.294,0.023,0.068,0.136,0.198,0.667,0.367,0.249,0.412,0.113,0.136,0.401,0.282,0.316,0.429,0.277,0.226,0.39,0.559,0.441,1.191,-0.533,0.183,-0.247,-0.282,1
A8CG34,0.097,0.045,0.858,0.312,0.526,0.464,0.135,0.063,0.045,0.097,0.858,0.552,0.253,0.427,0.259,0.013,0.363,0.225,0.413,0.389,0.279,0.421,0.368,0.679,0.321,0.272,-0.82,0.051,-0.401,0.453,1
Q67FW5,0.159,0.11,0.731,0.214,0.488,0.399,0.058,0.095,0.11,0.159,0.731,0.486,0.246,0.35,0.113,0.038,0.436,0.286,0.277,0.439,0.289,0.251,0.223,0.48,0.52,0.153,-0.317,-0.267,-0.239,0.125,0
O43765,0.096,0.128,0.776,0.236,0.476,0.415,0.058,0.061,0.128,0.096,0.776,0.457,0.217,0.387,0.115,0.045,0.498,0.185,0.316,0.399,0.371,0.249,0.278,0.514,0.486,0.375,-0.506,-0.111,-0.59,0.216,1
Q8TF66,0.09,0.072,0.838,0.236,0.518,0.458,0.065,0.064,0.072,0.09,0.838,0.534,0.239,0.318,0.124,0.045,0.434,0.246,0.32,0.463,0.305,0.255,0.217,0.501,0.499,-0.22,-0.491,-0.196,-0.464,0.134,1
P61088,0.132,0.125,0.743,0.151,0.546,0.467,0.092,0.079,0.125,0.132,0.743,0.559,0.27,0.283,0.079,0.033,0.487,0.25,0.263,0.434,0.362,0.237,0.191,0.474,0.526,-0.124,-0.337,-0.286,-0.331,0.274,1
Q15937,0.181,0.106,0.713,0.305,0.378,0.319,0.064,0.074,0.106,0.181,0.713,0.412,0.275,0.404,0.163,0.068,0.462,0.241,0.297,0.361,0.329,0.317,0.311,0.5,0.5,0.725,-0.377,-0.03,-0.269,0.052,0
Q6DHY5,0.169,0.115,0.716,0.215,0.483,0.401,0.086,0.082,0.115,0.169,0.716,0.47,0.273,0.359,0.109,0.047,0.466,0.23,0.304,0.397,0.333,0.27,0.237,0.479,0.521,0.286,-0.28,-0.247,-0.194,0.2,0
P01563,0.128,0.117,0.755,0.277,0.457,0.356,0.027,0.096,0.117,0.128,0.755,0.516,0.176,0.367,0.154,0.064,0.5,0.282,0.218,0.431,0.287,0.255,0.218,0.42,0.58,-0.097,-0.387,-0.339,-0.468,0.112,1
Q562R1,0.122,0.128,0.75,0.213,0.508,0.418,0.056,0.088,0.128,0.122,0.75,0.508,0.207,0.359,0.122,0.061,0.41,0.309,0.282,0.423,0.293,0.287,0.226,0.495,0.505,0.03,-0.531,-0.231,-0.402,0.091,0
Q6PDA7,0.171,0.057,0.772,0.211,0.537,0.455,0.089,0.098,0.057,0.171,0.772,0.52,0.285,0.309,0.114,0.024,0.496,0.228,0.276,0.455,0.252,0.285,0.244,0.472,0.528,-0.049,-0.348,-0.321,-0.073,0.245,0
Q96AX1,0.144,0.129,0.727,0.195,0.49,0.416,0.042,0.087,0.129,0.144,0.727,0.485,0.228,0.344,0.104,0.034,0.483,0.263,0.253,0.438,0.322,0.223,0.196,0.433,0.567,0.015,-0.414,-0.41,-0.457,0.127,1
Q6PJQ5,0.125,0.154,0.72,0.244,0.431,0.334,0.1,0.09,0.154,0.125,0.72,0.463,0.27,0.383,0.122,0.061,0.444,0.219,0.338,0.347,0.424,0.283,0.199,0.469,0.531,0.268,-0.06,0.024,-0.39,0.155,0
P12270,0.152,0.188,0.66,0.261,0.36,0.329,0.034,0.022,0.188,0.152,0.66,0.394,0.226,0.474,0.154,0.022,0.564,0.19,0.246,0.309,0.429,0.236,0.187,0.44,0.56,0.782,-0.397,-0.534,-0.75,0.218,1
